State	Branch
1	Basal
2	Basal
3	Basal
4	Basal
5	Basal
6	Basal
7	Basal
8	Basal
9	Basal
10	Basal
11	Basal
12	Basal
13	Basal
14	Basal
15	Basal
16	Luminal_2
17	Luminal_2
18	Luminal_2
19	Luminal_2
20	Luminal_2
21	Luminal_2
22	Luminal_2
23	Luminal_2
24	Luminal_2
25	Luminal_1
26	Luminal_1
27	Luminal_1
28	Luminal_1
29	Luminal_1
30	Luminal_1
31	Luminal_1
32	Luminal_1
33	Luminal_1
34	Luminal_1
35	Luminal_1
36	Luminal_1
37	Luminal_1
38	Luminal_1
39	Luminal_1
40	Basal
41	Basal
42	Basal
43	Basal
44	Basal
45	Basal
46	Basal
47	Basal
